1,Human,Human,GAMEOVER USER CANCEL UNDECIDED,NOBODY,0,game00001.log,USER CANCEL
2,Human,RandomPlayer,0,Human,9,game00002.log,
3,Human,Human,1,Human,7,game00003.log,
4,260672475,RandomPlayer,0,260672475,8,game00004.log,
5,260672475,RandomPlayer,0,260672475,8,game00005.log,
6,RandomPlayer,260672475,1,260672475,9,game00006.log,
7,260672475,RandomPlayer,0,260672475,8,game00007.log,
8,RandomPlayer,260672475,1,260672475,9,game00008.log,
9,260672475,RandomPlayer,0,260672475,8,game00009.log,
10,RandomPlayer,260672475,1,260672475,9,game00010.log,
11,260672475,RandomPlayer,0,260672475,8,game00011.log,
12,RandomPlayer,260672475,1,260672475,9,game00012.log,
13,260672475,RandomPlayer,0,260672475,8,game00013.log,
14,RandomPlayer,260672475,1,260672475,9,game00014.log,
15,260672475,RandomPlayer,0,260672475,8,game00015.log,
16,RandomPlayer,260672475,1,260672475,9,game00016.log,
17,260672475,RandomPlayer,0,260672475,8,game00017.log,
18,RandomPlayer,260672475,1,260672475,9,game00018.log,
19,260672475,RandomPlayer,0,260672475,8,game00019.log,
20,RandomPlayer,260672475,1,260672475,9,game00020.log,
21,260672475,RandomPlayer,0,260672475,8,game00021.log,
22,RandomPlayer,260672475,1,260672475,9,game00022.log,
23,260672475,RandomPlayer,0,260672475,8,game00023.log,
24,RandomPlayer,260672475,1,260672475,9,game00024.log,
25,260672475,RandomPlayer,0,260672475,7,game00025.log,
26,RandomPlayer,260672475,1,260672475,8,game00026.log,
27,260672475,RandomPlayer,0,260672475,7,game00027.log,
28,RandomPlayer,260672475,1,260672475,8,game00028.log,
29,260672475,RandomPlayer,0,260672475,7,game00029.log,
30,RandomPlayer,260672475,1,260672475,8,game00030.log,
31,260672475,RandomPlayer,0,260672475,7,game00031.log,
32,RandomPlayer,260672475,1,260672475,8,game00032.log,
33,260672475,RandomPlayer,0,260672475,7,game00033.log,
34,RandomPlayer,260672475,1,260672475,8,game00034.log,
35,260672475,RandomPlayer,0,260672475,7,game00035.log,
36,RandomPlayer,260672475,1,260672475,8,game00036.log,
37,260672475,RandomPlayer,0,260672475,7,game00037.log,
38,RandomPlayer,260672475,1,260672475,8,game00038.log,
39,260672475,RandomPlayer,0,260672475,7,game00039.log,
40,RandomPlayer,260672475,1,260672475,8,game00040.log,
41,260672475,RandomPlayer,0,260672475,7,game00041.log,
42,RandomPlayer,260672475,1,260672475,8,game00042.log,
43,260672475,RandomPlayer,0,260672475,7,game00043.log,
44,RandomPlayer,260672475,1,260672475,8,game00044.log,
45,260672475,260672475,1,260672475,12,game00045.log,
46,260672475,RandomPlayer,0,260672475,7,game00046.log,
47,Human,Human,0,Human,6,game00047.log,
